pair_id,t_query,t_cand,n_runs,ever_accepted
567,1782492171.754,1782492011.384,1,1
568,1782492171.754,1782492012.004,2,2
569,1782492171.754,1782492013.151,2,2
570,1782492171.754,1782492018.236,1,1
571,1782492172.523,1782491823.666,3,0
572,1782492172.523,1782491827.871,3,0
573,1782492173.589,1782492014.614,3,1
574,1782492173.589,1782492015.280,3,1
575,1782492173.589,1782492016.613,3,1
576,1782492174.659,1782492013.277,3,1
577,1782492174.659,1782492015.280,3,1
578,1782492174.659,1782492015.946,3,1
579,1782492175.328,1782492012.477,3,1
580,1782492175.328,1782492013.277,3,1
581,1782492175.328,1782492016.613,3,1
582,1782492175.996,1782492014.614,3,1
583,1782492175.996,1782492015.280,3,1
584,1782492175.996,1782492016.613,3,1
585,1782492176.663,1782492011.807,3,1
586,1782492176.663,1782492012.477,3,1
587,1782492176.663,1782492017.282,3,1
588,1782492177.076,1782492005.333,1,0
589,1782492177.076,1782492007.109,1,0
590,1782492177.076,1782492008.041,1,0
591,1782492177.076,1782492012.004,3,3
592,1782492177.076,1782492013.151,2,2
593,1782492177.076,1782492013.355,3,2
594,1782492177.076,1782492017.710,2,1
595,1782492177.076,1782492018.236,2,2
596,1782492177.076,1782492018.648,3,2
597,1782492177.397,1782492011.807,3,1
598,1782492177.397,1782492012.477,3,1
599,1782492177.397,1782492014.614,3,1
600,1782492178.063,1782492011.807,3,0
601,1782492178.063,1782492014.614,3,0
602,1782492178.063,1782492017.950,3,1
603,1782492179.129,1782492011.137,3,0
604,1782492179.129,1782492019.949,3,0
605,1782492179.465,1782491981.133,2,1
606,1782492179.465,1782492005.548,2,1
607,1782492179.465,1782492020.420,1,1
608,1782492179.465,1782492020.839,3,2
609,1782492179.465,1782492022.932,1,1
610,1782492179.568,1782492003.458,1,0
611,1782492179.568,1782492005.333,1,0
612,1782492179.568,1782492007.109,1,0
613,1782492179.568,1782492020.630,2,2
614,1782492179.568,1782492021.048,2,2
615,1782492179.568,1782492023.133,2,2
616,1782492180.727,1782491979.188,3,0
617,1782492182.726,1782491980.523,3,0
618,1782492184.025,1782492000.849,1,0
619,1782492184.025,1782492001.791,1,0
620,1782492184.025,1782492002.206,1,0
621,1782492184.025,1782492008.041,2,2
622,1782492184.025,1782492009.295,2,2
623,1782492184.025,1782492024.498,2,2
624,1782492184.125,1782492003.458,2,1
625,1782492184.125,1782492007.109,3,3
626,1782492184.125,1782492008.041,3,2
627,1782492184.125,1782492022.932,1,1
628,1782492191.424,1782491992.808,1,0
629,1782492191.424,1782492000.225,1,0
630,1782492191.424,1782492000.849,1,0
631,1782492191.424,1782492002.628,1,1
632,1782492191.424,1782492024.498,1,1
633,1782492191.424,1782492025.852,2,2
634,1782492191.424,1782492027.108,2,2
635,1782492192.467,1782492002.206,3,2
636,1782492192.467,1782492002.628,3,2
637,1782492192.467,1782492003.041,3,2
638,1782492194.137,1782491822.999,3,0
639,1782492194.936,1782491938.563,3,0
640,1782492194.936,1782491991.457,3,1
641,1782492194.936,1782492001.197,3,1
642,1782492196.933,1782491991.457,3,0
643,1782492196.958,1782491991.142,2,2
644,1782492196.958,1782491995.316,1,0
645,1782492196.958,1782491997.403,1,0
646,1782492196.958,1782491999.178,1,0
647,1782492196.958,1782492000.849,2,2
648,1782492196.958,1782492001.791,2,2
649,1782492197.865,1782491993.527,3,1
650,1782492197.904,1782491992.704,3,2
651,1782492197.904,1782492000.325,3,2
652,1782492197.904,1782492000.849,3,2
653,1782492198.600,1782492001.197,3,0
654,1782492199.601,1782491995.192,3,2
655,1782492202.952,1782491992.808,2,2
656,1782492202.952,1782491993.958,1,1
657,1782492202.952,1782491995.316,1,1
658,1782492202.952,1782491997.403,1,1
659,1782492202.952,1782491999.178,1,1
660,1782492202.952,1782492000.225,2,2
661,1782492202.952,1782492000.849,1,1
662,1782492203.570,1782491991.039,1,1
663,1782492203.570,1782492000.325,3,2
664,1782492203.570,1782492000.849,3,2
665,1782492203.570,1782492001.791,2,1
666,1782492206.061,1782492027.108,1,1
667,1782492206.061,1782492028.153,2,2
668,1782492206.061,1782492029.198,1,0
669,1782492206.061,1782492163.110,1,0
670,1782492206.061,1782492164.463,1,0
671,1782492206.061,1782492165.817,2,2
672,1782492206.061,1782492167.068,1,1
673,1782492206.270,1782492028.257,3,2
674,1782492206.270,1782492165.719,3,2
675,1782492206.270,1782492166.762,3,2
676,1782492211.352,1782491982.181,2,1
677,1782492211.352,1782492003.041,1,0
678,1782492211.352,1782492003.458,2,1
679,1782492211.352,1782492005.333,2,2
680,1782492211.352,1782492007.109,2,2
681,1782492211.664,1782492003.041,1,0
682,1782492211.664,1782492003.458,3,2
683,1782492211.664,1782492007.109,2,2
684,1782492211.664,1782492008.041,3,2
685,1782492215.109,1782491977.582,2,1
686,1782492215.109,1782491978.519,3,2
687,1782492215.109,1782491979.461,3,2
688,1782492215.109,1782491980.409,1,1
689,1782492216.249,1782491978.310,3,2
690,1782492216.249,1782491979.252,3,2
691,1782492216.249,1782491980.194,3,2
