# dataset_name=lab_run_2
# dataset_scan_variant=raw
# dataset_scan_file=/home/kaushik/slam_ws/datasets/lab_run_2/scans.carmen
# matcher_type=scan_to_submap
k t x y theta score inliers dx dy dtheta do_insert did_insert
230 1776785650.506763 2.175207 -1.503274 -0.842071 0.718388 193 -0.021814 -0.022021 0.016175 1 1
231 1776785650.611816 2.193828 -1.516577 -0.786403 0.731538 197 -0.031379 -0.013303 0.005668 1 1
232 1776785650.720088 2.214310 -1.536112 -0.738450 0.735070 195 0.020482 -0.019535 -0.002046 1 1
233 1776785650.820246 2.234707 -1.556780 -0.687690 0.754845 197 0.020397 -0.020668 0.000760 1 1
234 1776785650.925418 2.262683 -1.571617 -0.642454 0.782112 193 -0.022024 -0.014837 -0.004764 1 1
235 1776785651.029655 2.284706 -1.589434 -0.594734 0.764603 190 -0.027977 -0.017817 -0.002280 1 1
236 1776785651.132794 2.310562 -1.599538 -0.546457 0.769221 193 -0.024144 -0.010104 -0.001724 1 1
237 1776785651.241450 2.336048 -1.608180 -0.498939 0.765196 188 -0.024514 -0.008642 -0.002482 1 1
238 1776785651.341471 2.360499 -1.622039 -0.452315 0.739508 191 -0.025549 -0.013859 -0.003376 1 1
239 1776785651.446207 2.388856 -1.627909 -0.398885 0.792389 188 -0.021643 -0.005870 0.003430 1 1
240 1776785651.550346 2.415658 -1.635191 -0.347893 0.797165 194 -0.023198 -0.007282 0.000992 1 1
241 1776785651.654728 2.444154 -1.643264 -0.300504 0.810236 206 -0.021505 -0.008072 -0.002611 1 1
